ID,year,ttulo_de_inscripcin ,sinopsis ,sinopsis_idioma_original ,idioma,seleccin,duracin ,pas_de_origen ,region,universidad,categora ,gnero,regin,sitio_web ,facebook ,otra_red_social,contacto,trailer ,formato ,relacin_de_aspecto ,color,director ,escritor ,productor ,elenco ,otros_crditos ,,distribuidor ,imagen_principal
1811,2018,LIU,La autora nos regala un recorrido por su propio cuerpo y el erotismo que se desprende de ese reconocimiento. ,"About a trace of love. Sometimes I masturbate to reveal an passed relationship;
Form the shape in illusion to fulfill the heart taken by the vanish of odor;
Catch the shadow of sparkling memory in lusciousness to keep the unaccomplished promise;
Ruminate all those shedding and remain, my body becomes shinny and smooth,
reflect the ‘me’ that Liu have never seen.",Chino,2018,00:03:00,Taiwan,Asia y Medio Oriente,Taipei National University of Arts,Ficción experimental,"Animation, Experimental, Short, Student",,N/A,N/A,N/A,,https://filmfreeway.com/submissions/10672462,digital,16:9,Color,"Chia-Wen HUNG, I-Wen CHEN",,,,Music: Ning-Wen CHANG; Voice Actress: Trista NG; Colour Helper: Syuan WANG,,N/A,/media/iskar/ARCHIVOS/Proyectos/NEOS/catalogo/imagenes/catalogo_img_2018/LIU_catalog.jpg
1812,2018,Dichotomy ,Una mujer joven se enfrenta a confrontar la dualidad que habita dentro de sí misma.,A young woman is faced with confronting the duality within herself.,N/A,2018,00:01:38,Canadá,Canadá y Estados Unidos,Vancouver Film School,Ficción experimental,"Animation, Experimental, Short, Student",,http://Www.chantalmariejohnston.com,N/A,N/A,,N/A,Digital,,Color,Chantal Johnston ,,,,"Music: Taylor Gervais, Leif Henderson; Editor: Rob Wood; Audio Production: Matt LeBlanc",,N/A,/media/iskar/ARCHIVOS/Proyectos/NEOS/catalogo/imagenes/catalogo_img_2018/dichotomy_catalog.jpg
1813,2018,Where am I,"""Ahhh the shower the hair, the body, the water. A place of imagination and music. Where thoughts stray and melodies sprout. Where we think about our body, what it looks like, what we want it to look like, feel like. Cleansing. A safe place, the shower, to be naked, private. But to have that privacy removed. To be exposed in that private place and time."" Bjørn Parramoure",,N/A,2018,00:03:29,Suiza,Europa,Bezalel Academy of Arts and Design,Ficción experimental,"Experimental, Music Video, Short, Student, Other",,http://www.stellameris.com,https://www.facebook.com/iamstellameris,N/A,,N/A,Digital,16:9,Color,Stella Meris,,,,N/A,,N/A,/media/iskar/ARCHIVOS/Proyectos/NEOS/catalogo/imagenes/catalogo_img_2018/where_am_i_catalog.jpg
1814,2018,Did you know?,Una exploración sobre el queerness y la sexualidad a través de los sitios compartidos entre la hiena manchada y yo.,An exploration in shared sites of queerness and sexuality between the spotted hyena and myself.,Inglés,2018,00:07:46,Estados Unidos,Canadá y Estados Unidos,Ohio State University,Ficción experimental,"Animation, Experimental, Short",,http://www.lynn-kim.com/did-you-know,N/A,N/A,,N/A,Digital,16:9,Color,Lynn Kim,,,,N/A,,N/A,/media/iskar/ARCHIVOS/Proyectos/NEOS/catalogo/imagenes/catalogo_img_2018/did_you_know_catalog.jpg
1815,2018,EXPOSURE,Un documental animado que explora la normalización de tomar drogas entre los jóvenes.,An animated documentary exploring the normalisation of taking drugs amongst young people.,Inglés,2018,00:03:45,Reino Unido,Europa,Manchester School of Art,Documental experimental,"Animation, Documentary, Student",,http://www.bellawatsonart.com,N/A,https://twitter.com/bellawatsonart,,N/A,Digital,16:9,Color,Bella Watson,,,,N/A,,N/A,/media/iskar/ARCHIVOS/Proyectos/NEOS/catalogo/imagenes/catalogo_img_2018/exposure_catalog.jpg
1816,2018,Hope ,"Un pirata está en camino a cazar. Mientras navega por el mar ve un tiburón, su tamaño es más grande de lo que él espera. Entiende que es un tiburón peligroso y trata de escapar de él. Pero es muy tarde. Cuando golpea el barco cae al mar. Entonces el tiburón agarra su cuerpo. Ahora el destino del hombre está en manos del tiburón. Pero el pirata hará lo posible para no morir. Es conocido por ser un capitán terco. Por eso la película se llama 'Esperanza'. ¿Sobrevivirá?",The pirate man is on his way to hunt. While he was sailing on the sea he sees a shark. But his size is bigger than he expects. Understands that it's a dangerous shark and tries to escape from him. But it's too late. When he hits the ship he falls to the sea. Then shark grabs his body. Now the man's destiny is in the hands of the shark. But the pirate will do his best to not die. He is known as a stubborn captain. That's why movie is called 'Hope'. Will he survive? ,N/A,2018,00:01:42,Turquía,Asia y Medio Oriente,?zmir Ekonomi Üniversitesi,Ficción experimental,"Animation, Experimental, Short, Student",,N/A,N/A,N/A,,N/A,Digital,,Color,Ata Kaan Koç,,,,N/A,,N/A,/media/iskar/ARCHIVOS/Proyectos/NEOS/catalogo/imagenes/catalogo_img_2018/hope_catalog.jpg
1817,2018,Bewildering Follies (extended),"""Bewildering Folies"" explora la importancia de las huellas históricas, sociales y culturales que se encuentran en el tejido urbano que se está transformando rápidamente, e intenta describir su papel en el proceso de ""vagar por la historia"". El proyecto explota el moldeado de Greenwich World Heritage Site en un viaje surrealista ficticio-histórico. Una serie de cadáveres arquitectónicos animados guía al observador desde Blackheath hasta el icónico río de Greenwich.","‘Bewildering Folies’ explores the importance of historical, social and cultural footprints secluded in the rapidly morphing urban tissue and attempts to outline their role in the process of ‘wandering through history’. The project exploits Greenwich World Heritage Site moulding it's past into a surreal ficto-historical journey. A series of animated architectural corpses guides the observer from Blackheath to iconic Greenwich riverfront.",N/A,2018,00:04:26,Reino Unido,Europa,University of Greenwich,Documental experimental,"Animation, Student",,https://bfollies.wixsite.com/follies,N/A,N/A,,N/A,"animation, 2,5d",,Color,Sasha Userdnaja,,,,N/A,,N/A,/media/iskar/ARCHIVOS/Proyectos/NEOS/catalogo/imagenes/catalogo_img_2018/bewildering_follies_catalog.jpg
1818,2018,Geometry,"La geometría es una pieza animada de música visual. Inspirada por Oskar Fischinger y John Whitney, Geometry combina formas gráficas con música para mostrar el viaje de una pelota.","Geometry is a visual music animated piece. Inspired by Oskar Fischinger and John Whitney,  Geometry combines graphic shapes   with music to show a ball's journey. ",N/A,2018,00:01:32,Estados Unidos,Canadá y Estados Unidos,California Institute of the Arts,Ficción experimental,"Animation, Experimental, Short, Student, Other",,N/A,N/A,N/A,,https://filmfreeway.com/submissions/10719799,Digital,16:9,Color,Simo Liu,,,,Music: Pantawit Kiangsiri; Faculty Advisor: Mike Patterson,,N/A,/media/iskar/ARCHIVOS/Proyectos/NEOS/catalogo/imagenes/catalogo_img_2018/geometry_catalog.jpg
1819,2018,El Quebranto,Ensayo documental; que transmite una reflexión personal sobre la muerte a través de cultos populares mexicanos.  ,Documentary essay; a personal reflexion about death through the eyes of mexican popular worship.  ,Español,2018,00:09:21,México,América Latina,Universidad Popular Autónoma de Puebla,Documental experimental,Short,,N/A,N/A,N/A,,N/A,Digital,,Color,Andoni Cuéllar ,,Carmina Orozco,,Fotografía: Alan Aldana; Sonido : Andoni Cuéllar,,N/A,/media/iskar/ARCHIVOS/Proyectos/NEOS/catalogo/imagenes/catalogo_img_2018/el_quebranto_catalog.jpg
1820,2018,Underland,"Construcción del mundo real en la forma de un cuerpo humano. El desierto representa el mundo exterior y el exterior del cuerpo. Ingresar al canal auditivo le permite ingresar a este entorno tranquilo, único y altamente técnico que también es un de ceremonia y un lugar para conectarse con los espacios exteriores.","Constructs a surreal world shaped as a human body. The desert depicts the outside world and the exterior of the body. Entering the ear canal allows one to enter this quiet, unique, yet highly technical setting that serves as a place of ceremony while also being connected with outer space.",N/A,2018,00:02:06,China,Asia y Medio Oriente,School of the Art institute of Chicago,Ficción experimental,"Animation, Experimental, Short, Student",,https://vimeo.com/198572225,https://www.facebook.com/qianwen.yu.568,N/A,,N/A,Digital,,Color,,,,,N/A,,N/A,/media/iskar/ARCHIVOS/Proyectos/NEOS/catalogo/imagenes/catalogo_img_2018/underland_catalog.jpg
1821,2018,2-Legged-World,"En un mundo sin humanidad, el sol y la luna suben y bajan al mismo tiempo, las flores de loto flotantes cubren la superficie del agua. Mirando a través del túnel, hay un mundo de dos piernas.","In a world without humanity, sun and moon rise and fall at the same time, floating lotus flowers cover the surface of water. Looking through the tunnel, there is a two-legged world.",N/A,2018,00:01:21,China,Asia y Medio Oriente,School of the Art institute of Chicago,Ficción experimental,"Animation, Experimental, Short, Student",,https://vimeo.com/252914087,https://www.facebook.com/qianwen.yu.568,N/A,,N/A,Digital,,Color,,,,,N/A,,N/A,/media/iskar/ARCHIVOS/Proyectos/NEOS/catalogo/imagenes/catalogo_img_2018/2leggedworld_catalog.jpg
